sampleid,Sample_type,Sample_name,ASV_richness,ASV_Chao1,ASV_Shannon
OBER.Mn.JE1,JE,Jan_B1,1020,1025.68,5.55
OBER.Mn.JE2,JE,Jan_B1,1025,1041.5,5.52
OBER.Mn.JE3,JE,Jan_B2,1055,1061.84,5.78
OBER.Mn.JE4,JE,Jan_B2,1137,1163.25,5.91
OBER.Mn.JO1,JO,Jan_IB,999,1012.15,5.77
OBER.Mn.JO2,JO,Jan_IB,1004,1006.52,5.74
OBER.Mn.SE1,SE,Sept_B1,926,942.67,5.71
OBER.Mn.SE2,SE,Sept_B1,1026,1043.5,5.81
OBER.Mn.SE5,SE,Sept_B2,972,992,5.65
OBER.Mn.SE6,SE,Sept_B2,1127,1170.38,5.76
OBER.Mn.SO1,SO,Sept_IB,955,979.17,5.67
