Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,Sept_B2,0,0,0,0,0,0,0,0,14.55,13.33,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Jan_IB,0,0,0,0,10.66,11.85,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,Jan_B1,10.79,10.86,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,Sept_B1,0,0,0,0,0,0,12.73,8.44,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of Comamonadaceae,Jan_B2,0,0,10.32,10.04,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Jan_B1,9.26,9.8,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Jan_B2,0,0,8.07,8.84,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Jan_B1,8.25,8.55,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Jan_IB,0,0,0,0,7.07,7.22,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Jan_B2,0,0,6.59,5.98,0,0,0,0,0,0,0
d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Jan_IB,0,0,0,0,6.32,5.74,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,Jan_IB,0,0,0,0,5.32,5.49,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Jan_IB,0,0,0,0,4.61,5.14,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Jan_B1,4.58,4.79,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Sept_B2,0,0,0,0,0,0,0,0,4.72,4.63,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Jan_B2,0,0,4.26,4.89,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Sept_B2,0,0,0,0,0,0,0,0,4.92,4.21,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Genus of Saprospiraceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,8.42
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Sept_B1,0,0,0,0,0,0,3.96,4.43,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,A0839,Jan_B2,0,0,4.87,3.34,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Sept_B1,0,0,0,0,0,0,3.79,4.41,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Sept_B2,0,0,0,0,0,0,0,0,4.33,3.7,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,A0839,Jan_B1,4.01,3.98,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia,Jan_B1,4.21,3.64,0,0,0,0,0,0,0,0,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Genus of Blastocatellaceae,Jan_IB,0,0,0,0,3.8,3.97,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Jan_B2,0,0,3.43,4.21,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Sept_B1,0,0,0,0,0,0,4.72,2.91,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Jan_B1,3.66,3.52,0,0,0,0,0,0,0,0,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Genus of Blastocatellaceae,Sept_B2,0,0,0,0,0,0,0,0,3.91,3.09,0
d__Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Sept_B1,0,0,0,0,0,0,3.69,2.87,0,0,0
d__Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,Jan_B2,0,0,3.6,2.64,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,Sept_B2,0,0,0,0,0,0,0,0,3.09,2.97,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,A0839,Sept_B1,0,0,0,0,0,0,3.45,2.58,0,0,0
d__Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,Sept_B1,0,0,0,0,0,0,2.07,3.61,0,0,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Genus of Blastocatellaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,5.65
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Sept_B2,0,0,0,0,0,0,0,0,2.81,2.82,0
d__Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,Jan_B1,2.99,2.52,0,0,0,0,0,0,0,0,0
