Kingdom,Phylum,Class,Order,Family,Genus,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE3,OBER.Mn.SE4,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Family_Burkholderiaceae,8.86,8.86,6.66,7.44,2.48,2.12,10.46,6.85,5.94,10.42,10.08,9.29,3.2
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,8.82,9.33,3.92,4.66,9.97,11.15,2.56,1.97,1.31,2.72,3,2.87,5.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,4.41,4.53,6.23,5.67,1.04,1.01,3.8,4.18,4.97,5.82,4.52,4.46,1.95
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,7.81,8.08,7.5,8.28,0.44,0.44,2.6,1.3,0.54,0.71,1.75,1.79,0.34
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,1.65,1.31,1.37,1.44,6.04,5.44,3.53,2.74,2.99,1.51,1.62,1.59,4.81
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067,3.44,3.39,3.28,3.92,1.01,0.84,3.46,4.18,3.79,2.29,2.63,2.67,0.37
Bacteria,Acidobacteria,Subgroup 6,Class_Subgroup 6,Class_Subgroup 6,Class_Subgroup 6,2.26,2.45,2.11,2.11,2.11,2.08,2.27,3.81,3.22,2.18,2.66,2.5,2.86
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,Family_A0839,3.91,3.79,4.52,3.12,1.14,1.04,3.23,2.44,2.75,1.92,2.12,2.23,0.4
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,1.31,1.44,3.48,0.4,0.1,0.07,0.83,4.01,4.83,6.22,4.11,3.55,0.24
Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4 lineage,2.76,2.38,3.35,2.45,1.38,1.34,1.93,3.41,2.32,2.29,2.29,2.06,1.21
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Stenotrophobacter,1.65,1.51,1.24,1.44,2.85,3.02,1.43,1.47,2.58,2.82,2.16,1.79,3.33
Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Family_Gemmataceae,1.68,1.34,1.67,1.48,0.94,1.01,1.67,2.81,2.62,2.15,1.79,1.55,2.25
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,0.13,0.17,0.47,0.34,0.1,0.07,4.36,2.71,1.68,3.66,4.72,3.99,0.13
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Order_Planctomycetales,Order_Planctomycetales,0.88,0.84,0.97,1.07,1.68,1.75,2.2,2.14,1.38,1.95,2.49,2.16,2.02
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter,0.94,0.94,2.44,1.51,0.1,0.07,2.07,1.34,0.91,2.62,4.35,3.85,0.17
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,0.84,0.7,0.6,1.04,6.78,6.92,0.5,0.4,0.2,0.3,0.4,0.47,1.72
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Order_Rhizobiales,Order_Rhizobiales,2.12,2.18,1.91,1.98,0.2,0.17,2.1,2.4,1.58,1.38,1.52,1.52,0.47
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Family_Saprospiraceae,0.1,0.17,0.23,0.3,2.38,2.65,0.33,0.33,0.6,1.92,0.2,0.3,7.77
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,0.27,0.37,0.3,0.37,5.07,5.24,0.23,0.17,0.17,0.2,0.24,0.34,3.09
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,1.01,1.11,1.24,1.34,1.04,0.94,1.57,1.6,1.88,1.14,1.25,1.15,0.44
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.35,1.44,1.77,1.61,0.54,0.47,1,0.94,1.48,1.41,1.21,1.18,1.18
Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Family_Pirellulaceae,1.89,1.34,1.91,1.68,0.34,0.4,0.9,1.74,1.14,1.08,1.25,1.15,0.3
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0.1,0.1,0.07,0.1,4.36,4.84,0.07,0.1,0.07,0.1,0.07,0.17,4.57
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Family_Blastocatellaceae,0.81,0.81,0.87,1.04,0.77,0.74,0.73,0.8,1.68,1.98,1.31,1.05,2.02
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Family_Sphingomonadaceae,0.34,0.47,0.44,0.5,1.91,1.91,1.07,1.27,0.67,0.64,1.01,0.91,3.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Family_Rhizobiales Incertae Sedis,0.94,1.01,1.1,1.01,0.44,0.37,0.93,0.8,0.74,0.97,1.04,1.01,0.94
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,0.4,0.37,0.37,0.4,1.38,1.18,0.8,1.44,1.11,0.67,0.67,0.61,1.55
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia,4.01,3.46,1.07,0.67,0.03,0.03,0.17,0.17,0.07,0.03,0.07,0.2,0.03
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Planctopirus,0.54,0.5,0.94,0.7,0.34,0.44,0.7,1.3,0.77,0.71,0.91,0.74,1.21
Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,0.61,0.57,0.8,0.54,1.17,1.21,0.47,0.5,0.81,0.77,0.74,0.54,0.87
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,0.67,0.74,0.54,0.67,1.28,1.28,0.63,0.7,0.74,0.57,0.64,0.64,0.3
Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,0.71,0.67,0.67,0.64,0.67,0.84,0.37,0.97,1.01,0.5,0.54,0.57,0.77
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0.27,0.37,0.33,1.21,0.37,0.27,0.4,0.43,1.85,0.47,0.37,1.65,0.57
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Family_Chitinophagaceae,0.37,0.37,0.13,0.23,2.32,2.75,0.13,0.07,0.03,0.03,0.07,0.14,1.61
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,1.04,1.04,1,1.31,0.27,0.2,0.37,0.5,0.57,0.37,0.47,0.51,0.2
Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Family_Microscillaceae,0.1,0.07,0.17,0.17,0.3,0.37,1.2,0.84,2.92,0.84,0.34,0.34,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,0.61,0.57,0.77,0.74,0.34,0.34,0.43,1.07,0.64,0.5,0.51,0.61,0.54
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,0.27,0.34,0.27,1.11,0.3,0.24,0.23,0.27,1.98,0.27,0.27,1.59,0.44
Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmata,0.17,0.17,0.17,0.3,0.1,0.07,0.87,1.47,0.74,0.84,0.94,0.81,0.4
